countRequestsGET,countRequestsPOST,avgBytesSELECT,avgBytesDELETE,avgBytesUPDATE,avgBytesINSERT,avgOtherSQL,controller_1,controller_2,controller_3,controller_4,controller_5,controller_6,controller_7,controller_8,controller_9,controller_10,controller_11,Malicious
0,1,377,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,369,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,369,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,377,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,435,0,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,435,0,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,390,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,228,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,178,0,0,108,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,178,0,0,54,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,94,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,282,0,74,40,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,146,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,146,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,228,30,0,120,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,466,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,596,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,504,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,425,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
